Gene	Gene	Pcorr_Adenocarcinoma_JMD.2013_PMID.23701907	Pcorr_Squamous_Cell_Carcinoma_JMD.2013_PMID.23701907	Pcorr_Carcinoid_JMD.2013_PMID.23701907	Pcorr_Small_Cell_Carcinoma_JMD.2013_PMID.23701907
Gene	Gene	Pcorr_Adenocarcinoma_JMD.2013_PMID.23701907	Pcorr_Squamous_Cell_Carcinoma_JMD.2013_PMID.23701907	Pcorr_Carcinoid_JMD.2013_PMID.23701907	Pcorr_Small_Cell_Carcinoma_JMD.2013_PMID.23701907
10057	ABCC5|ABCC5.JS_R1	-1.105992972	0.284980166	0.136700901	0.684311905
90	ACVR1|ACVR1.JS_R1	-0.178079196	-0.133130534	0.314054637	-0.002844907
221	ALDH3B1|ALDH3B1.JS_DR4	2.219151263	0.827098029	-0.166547261	-2.879702032
84168	ANTXR1|ANTXR1.JS_R2	0.147045232	-0.100026522	-0.337868382	0.290849672
782	CACNB1|CACNB1.JS_R2	-0.20324443	-0.75883852	0.089504827	0.872578124
822	CAPG|CAPG.JS_R2	0.527849987	-0.021835225	-1.34257513	0.836560369
10951	CBX1|CBX1.JS_DR3	-0.590584504	-0.277648855	-0.313591992	1.18182535
1003	CDH5|CDH5.JQ_R1	-0.154649817	-0.916643716	0.766296294	0.30499724
1031	CDKN2C|CDKN2C.JS_R2	-1.838299186	-0.750179899	-0.865250641	3.453729726
1113	CHGA|CHGA.JS_R1	-6.270243138	-7.44979256	9.557793125	4.162242573
10519	CIB1|CIB1.JS_R4	0.299488775	0.061412653	-0.149576599	-0.211324829
7123	CLEC3B|CLEC3B.JQ_R2	0.145446601	-0.668651633	1.002418245	-0.479213213
80777	CYB5B|CYB5B.JS_R1	-0.195779861	-0.239380091	0.115984519	0.319175434
1796	DOK1|DOK1.JS_DR2	0.036292272	-0.286176163	-0.348712088	0.598595979
1825	DSC3|DSC3.JS_DR3	0.768110059	4.453533985	-1.221895849	-3.999748196
2237	FEN1|FEN1.JS_DR3	-0.410034382	0.192448032	-1.189595604	1.407181954
8928	FOXH1|FOXH1.JS_DR3	1.363659619	1.86758359	-1.054742247	-2.176500962
2709	GJB5|GJB5.JS_DR2	2.19942372	4.001327388	-2.701059767	-3.49969134
3231	HOXD1|HOXD1.JS_DR3	-0.069692038	0.504309837	0.219656948	-0.654274747
3249	HPN|HPN.JS_DR4	0.622328635	-0.539106421	-0.005841645	-0.077380569
8692	HYAL2|HYAL2.JS_DR2	0.474593148	-0.008007312	-0.255262118	-0.211323718
3382	ICA1|ICA1.JS_R1	-0.810830232	-2.174247589	0.95759282	2.027485
7087	ICAM5|ICAM5.JS_DR3	2.125065462	2.89691121	-1.769712205	-3.252264467
3642	INSM1|INSM1.JS_DR1	-2.434655562	-1.97496537	1.533048577	2.876572355
3655	ITGA6|ITGA6.JS_R1	-0.78816622	0.549780585	-0.465930867	0.704316502
3958	LGALS3|LGALS3.JS_R1	-0.827004605	-0.945352119	0.471869231	1.300487492
3991	LIPE|LIPE.JS_R4	-0.251969236	-0.221624257	-0.204963165	0.678556658
26020	LRP10|LRP10.JS_R2	0.095040934	-0.404210083	0.25839169	0.050777459
22924	MAPRE3|MAPRE3.JS_DR3	-0.680620362	-0.549670424	1.88952981	-0.659239024
10873	ME3|ME3.JS_R1	0.176681714	-1.581183028	0.643376753	0.76112456
23295	MGRN1|MGRN1.JS_R1	-0.083960053	-0.688540402	0.293696172	0.478804284
4608	MYBPH|MYBPH.JS_DR4	0.735194288	1.143447529	-0.797350287	-1.08129153
4647	MYO7A|MYO7A.JS_DR3	0.580986613	0.048888602	-1.331616366	0.701741152
4783	NFIL3|NFIL3.JS_DR2	0.222744342	0.662346387	-0.670680873	-0.214409857
10606	PAICS|PAICS.JS_R2	-0.242330923	0.390373811	0.362944404	-0.510987292
5058	PAK1|PAK1.JS_R1	-0.380340551	0.067790404	0.156938648	0.155611499
5175	PCAM1|PCAM1.JQ_R1	0.036555864	-0.695733894	-0.187107026	0.846285055
5286	PIK3C2A|PIK3C2A.JS_R2	-0.386882403	-0.662945461	0.656343383	0.393484481
22874	PLEKHA6|PLEKHA6.JS_R2	-0.400784678	-1.980226586	1.53987658	0.841134685
10213	PSMD14|PSMD14.JS_R2	-0.511593809	-0.284723371	0.13525805	0.66105913
79966	SCD5|SCD5.V1.UPL_R2	-0.477061938	0.560431532	-0.799248498	0.715878904
2810	SFN|SFN.JS_DR1	0.35719248	2.344985321	-3.144021631	0.441843831
6478	SIAH2|SIAH2.JS_R1	-0.422238188	0.432377558	-0.670535725	0.660396356
9892	SNAP91|SNAP91.JS_DR4	-5.549956247	-2.544174099	6.005718699	2.088411646
3925	STMN1|STMN1.JS_R1	-1.407505793	-1.017481034	0.193547498	2.231439328
6928	TCF2|TCF2.JS_R1	1.968197854	-0.655561339	0.016338818	-1.328975333
6950	TCP1|TCP1.JS_R2	-2.925528673	-2.305979671	2.138572966	3.092935378
7020	TFAP2A|TFAP2A.JS_DR3	2.025281442	3.628447631	-3.068033828	-2.585695244
7080	TITF1|TITF1.JS_DR3	0.464766853	-1.7079242	-0.5064988	1.749656146
23650	TRIM29_R4|TRIM29_R4	-1.655455943	2.948181071	-0.586860758	-0.70586437
7846	TUBA1|TUBA1.JS_R1	1.771265015	1.589025792	-0.137497119	-3.222793689
