GeneID	Name	49	50	51	SHAU	SHAU146	SHAU148	SHAU152	SHAU153	SHAU155	SHAU156	SHAU157	SHAU158	SHAU52	SHAU53	SHAU55	SHAU56	SHAU57	SHAU58	SHAU59	SHAU61	SHAU63	SHAU64	SHAU65	SHBX35	SHBX36	SHBX37	SHBX38	SHCE175	SHCE176	SHCE177	SHCE178	SHCE179	SHCE180	SHCE181	SHCE182	SHCE183	SHCE184	SHCE185	SHCE186	SHCE187	SHCE188	SHCE189	SHCE190	SHCE191	SHCE192	SHCE194	SHCE195	SHCE196	SHCE197	SHCE198
"1 = 0.1%serum, CSR_Quiescent, 2 = 10%serum, Pcorr_CSR_Activated :: Correlation || PNAS. 2005 | PMID:15701700"	"1 = 0.1%serum, CSR_Quiescent, 2 = 10%serum, Pcorr_CSR_Activated :: Correlation || PNAS. 2005 | PMID:15701700"	CSR_Quiescent	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	CSR_Quiescent	CSR_Quiescent	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	CSR_Quiescent	CSR_Quiescent	CSR_Quiescent	CSR_Quiescent	CSR_Quiescent	CSR_Quiescent	CSR_Quiescent	CSR_Quiescent	CSR_Quiescent	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	CSR_Quiescent	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	CSR_Quiescent	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	CSR_Quiescent	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	CSR_Quiescent	CSR_Quiescent	CSR_Quiescent	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	CSR_Quiescent	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	CSR_Quiescent	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	CSR_Quiescent	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	CSR_Quiescent	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	CSR_Quiescent	Pcorr_CSR_Activated_Correlation_PNAS.2005_PMID.15701700	CSR_Quiescent	CSR_Quiescent
84836	ABHD14B || Abhydrolase domain containing 14B	0.707	-2.148	-0.711	-2.921	0.15	0.341	0.643	-1.499	0.774	0.205	0.348	0.662	-0.216	-0.468	-0.72	0.019	-0.528	-0.437	-0.539	-2.542	-0.965	-2.421	-2.173	0.679	0.733	-0.078	-0.007	0.839	-1.119	1.024	-0.623	0.281	-0.148	0.867	0.433	0.692	-0.152	-0.668	0.72	0.157	0.748	-0.008	0.59	-0.018	0.906	-0.072	0.206	-0.088	1.306	1.083
8607	RUVBL1 || RuvB-like 1 (E. coli)	-0.377	1.562	1.136	0.084	-1.531	-1.748	0.282	1.531	0.617	-0.001	-0.175	-0.203	-1.804	-0.831	-1.437	-0.78	-1.491	-1.035	-1.09	0.479	-0.036	0.819	-0.086	0.554	-1.915	-0.001	-1.308	0.35	-0.208	-0.145	1.846	1.425	-0.798	-0.125	0.385	0.871	0.931	0.789	0.269	1.141	0.097	0.316	-0.756	1.423	0.268	1.429	-0.154	0.652	-0.152	-0.824
1854	DUT || Deoxyuridine triphosphatase	-0.358	0.078	-0.654	-0.133	0.556	-0.112	1.595	0.533	1.663	1.073	-0.271	-0.064	-0.148	-1.522	-1.712	0.019	-1.401	-1.847	-0.328	1.852	0.643	-0.032	1.493	1.781	0.201	0.655	-0.093	-0.407	-0.807	-1.299	0.767	0.774	-1.318	-0.44	-0.968	-0.251	0.348	0.72	-0.58	0.081	-0.64	0.473	-0.204	0.343	-1.773	0.509	-0.197	0.734	-0.545	0.482
5718	"PSMD12 || Proteasome (prosome, macropain) 26S subunit, non-ATPase, 12"	-1.738	0.078	0.127	0.737	-1.608	-0.634	1.271	1.223	-0.612	0.616	-1.103	-1.347	-0.258	-0.106	-0.75	-1.188	-1.085	-0.676	-0.863	0.91	1.661	1.114	1.247	0.732	-0.494	0.167	-0.439	-0.099	0.755	-0.89	0.62	1.049	-1.084	-1.133	-1.169	0.43	0.39	0.731	-1.138	-0.175	-1.013	0.839	0.027	0.787	-0.496	0.726	-0.046	0.455	-0.227	-1.477
169611	OLFML2A || Olfactomedin-like 2A	0.392	-1.119	-1.378	-1.3	1.136	1.472	0.32	-0.138	0.826	0.365	0.174	0.786	1.222	0.05	-0.506	0.675	-0.077	-1.182	0.305	-1.483	-1.036	-1.292	-2.681	-0.352	1.025	0.396	1.094	-1.215	-0.442	1.594	-1.318	-0.891	0.151	1.103	0.563	-0.251	-0.496	-0.598	0.977	-0.137	1.453	-0.764	0.964	-0.736	0.305	-1.222	-0.189	-0.91	0.016	0.694
10613	ERLIN1 || ER lipid raft associated 1	-0.18	0.416	-0.368	-0.034	-0.893	0.097	1.557	1.695	0.643	1.301	-0.407	-0.296	0.029	-1.642	-1.85	-0.141	-2.123	-1.754	-0.474	1.616	1.25	0.132	1.878	0.928	-0.478	0.976	0.351	-0.035	-0.39	-0.846	1.352	1.468	-0.629	0.174	0.184	0.453	1.327	0.916	-0.053	0.828	-0.277	0.706	-0.259	1.746	-0.036	0.566	-0.603	0.274	-1.125	-0.083
222865	TMEM130 || Transmembrane protein 130	-4.124	2.018	0.784	0.5	-5.299	-2.566	-0.099	1.713	-3.934	-1.394	-4.78	-2.923	-2.18	-1.211	-0.979	-5.501	-0.679	-1.434	-1.707	-0.09	0.553	0.623	-1.015	0.963	-2.327	1.847	-2.28	2.828	2.617	1.185	1.992	3.379	-0.395	1.827	-2.083	2.888	2.608	2.303	-0.257	2.077	0.727	-0.282	-3.137	1.339	-1.865	2.866	2.326	3.135	2.521	-0.859
9260	PDLIM7 || PDZ and LIM domain 7 (enigma)	-1.344	2.271	1.25	1.449	-1.782	-1.26	-0.555	0.152	-3.071	-0.069	-2.168	-2.15	-1.804	0.516	0.99	-2.324	1.112	0.92	-0.993	-0.071	-0.215	0.999	-0.594	-0.174	-1.702	-0.017	-1.765	0.758	1.354	1.141	1.297	1.801	-0.018	0.694	0.314	1.504	1.004	1.136	0.279	0.308	-0.544	-0.448	-1.395	0.307	-0.304	1.572	0.799	1.935	1.344	-0.153
4035	LRP1 || Low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	1.535	-1.979	-1.568	-2.091	0.885	0.306	-0.879	-1.335	-0.508	-0.046	-0.445	0.739	-0.744	-0.883	-0.46	0.533	-0.077	-1.168	0.143	-2.13	-0.59	-2.568	-2.085	1.39	2.649	0.365	1.323	-0.326	0.026	2.208	-1.227	-0.138	0.008	0.93	2.178	0.036	-0.433	-0.182	1.16	-0.08	1.346	-0.05	1.758	0.188	1.211	0.167	0.368	0.751	1.736	2.16
