CLID	Name	AU-565	SK-BR-3	MDA-MB-453	HCC1428	BT-474	HCC1419	ZR-75-1	MCF7	MCF7/Her2	H3396	ZR-75-30	MDA-MB-468	HCC38	MDA-MB-436	BT-20	HCC70	HCC1954	BT-549	MDA-MB-157	MDA-MB-231	HS578T	HCC1806	MDA-MB-435S
"1=Pcorr_Dasatinib_L :: Correlation || Cancer Res. 2007 | PMID:17332353, 2=Pcorr_Dasatinib_R :: Correlation || Cancer Res. 2007 PMID:17332353"	NaN	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_L_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353	Pcorr_Dasatinib_R_Correlation_Cancer.Res.2007_PMID.17332353
5412	5412	1.1703	0.421	1.453	1.806	0.8617	-0.1177	0.7063	1.0882	-0.3381	1.4475	1.1931	-0.361	0.2409	-0.2275	1.3235	-1.1391	-1.216	-1.0156	-1.7384	-1.9485	0.253	-0.5105	-0.5565
3601	3601	-2.005	-1.469	-3.183	-1.841	-2.383	-0.02782	-2.122	0.6958	1.451	-1.763	-1.251	1.114	1.635	1.493	-2.56E-07	2.457	1.248	-0.817	0.7101	1.941	0.5373	1.645	-1.112
27242	27242	-1.348	-2.624	-1.875	-3.13	-2.357	-0.1103	-1.876	-1.726	-2.345	-3.294	0.1701	0.6821	-0.1268	0.5858	1.157	1.052	0.7508	3.91E-07	0.4041	1.747	2.52	1.81	2.132
10403	10403	-1.169	-0.6344	-0.3976	-0.9585	2.74E-07	-1.062	-0.2755	-0.5685	-0.1883	-0.6395	-2.244	1.84	0.2626	-0.1468	0.5113	1.293	0.2251	1.174	1.179	1.202	0.889	0.463	0.4945
2131	2131	-0.6359	-0.0794	-0.2889	0.4954	-0.6684	-0.6366	-0.9449	-0.7496	-1.0262	-0.3961	0.5161	-0.262	-0.0281	1.5911	-0.277	0.0481	2.168	0.7553	1.7178	1.3668	1.9708	0.4772	-0.0007
50804	50804	-0.8669	-0.1888	0.1729	3.49E-07	-0.1751	0.5102	0.3084	1.074	0.411	1.238	0.5124	-2.504	0.3732	0.6014	-0.9747	-3.417	-4.214	0.6893	-1.711	0.1312	-1.566	-0.6388	-3.066
30011	30011	-0.3906	-0.6254	-1.95	-0.4968	-0.7112	-1.715	-0.3796	-0.002641	2.51E-07	-0.03119	-1.305	0.148	-0.1671	0.6214	0.297	1.547	1.726	0.4379	1.31	1.907	1.305	0.6214	2.187
7227	7227	0.9282	1.956	-0.1175	1.4725	-0.4761	1.8535	1.4122	0.0247	0.6796	1.573	2.115	-1.4283	1.777	-0.2116	-0.9387	-1.9619	-0.6627	-0.1381	-0.6433	-3.2165	-0.2193	-3.195	-1.357
5099	5099	0.5846	0.185	-1.365	1.671	-2.59	-0.3191	-0.7976	-1.564	-0.9188	-1.65	4.50E-08	-0.2875	-0.8032	0.02538	1.514	0.5179	1.281	0.06467	1.18	-0.0929	1.45	1.674	-1.472
2152	2152	0.9961	1.939	-3.823	-3.45E-07	-4.565	-3.216	-3.446	-3.695	-3.857	-4.194	0.8897	1.597	2.719	-0.0925	0.9835	1.032	3.556	-3.406	-0.9116	4.039	2.849	4.32	-3.648
5621	5621	-6.01E-08	0.2541	-2.092	-1.922	-1.29	-1.698	-1.203	-0.8528	-1.874	-1.42	-1.607	0.7171	1.852	-0.1942	0.329	-0.073	0.9593	1.291	0.736	1.803	1.177	1.665	1.853
7791	7791	1.087	0.6429	-1.289	-0.4904	-0.84	-0.3578	-0.8689	6.89E-08	-0.9778	-0.5508	0.5309	-0.342	-0.1897	-0.2502	0.9929	0.6715	1.2	0.4891	0.4249	0.5657	1.641	-0.6017	0.1685
5696	5696	-2.30E-07	-3.194	-6.503	-4.802	-4.592	-4.786	-2.791	-5.985	-5.385	-5.58	-4.448	1.133	0.99	0.5736	1.487	1.593	1.422	0.3125	0.9463	0.6123	-0.06064	0.4961	0.7785
10927	10927	-0.3704	-1.28E-07	-1.403	0.09574	0.2772	0.6152	-0.03177	-0.4617	-0.8539	0.5017	0.08351	0.8592	-0.1143	0.6124	-0.02982	-0.692	0.5266	0.2231	0.2414	0.3378	-0.3111	-0.6365	-0.6391
388228	388228	0.002108	0.3666	1.407	0.849	0.9947	1.544	2.001	4.11E-07	0.9176	1.438	1.784	-0.3608	0.1679	-0.9924	-1.125	-0.5991	-1.345	-1.146	-2.499	-1.929	-2.366	-2.928	-0.8607
11221	11221	-0.4203	-1.302	4.55E-07	-2.526	-0.02745	0.7358	0.4295	-1.209	-1.585	-1.801	0.2824	-0.5726	1.005	-0.04261	1.321	-0.3989	2.316	-1.093	1.903	0.8274	0.6231	1.51	0.6843
1806	1806	-1.06	-2.662	-2.009	-2.986	-1.889	-5.394	-2.338	-1.686	-5.589	-2.11	-1.18	0.6379	0.03215	1.046	1.157	3.306	2.68E-07	1.662	0.7159	2.683	2.878	0.4858	2.188
317649	317649	-1.2714	-0.2506	1.5589	0.4194	-0.1139	0.8269	-0.7904	1.1501	0.9525	0.6484	1.5633	-1.2911	-0.4144	0.9712	-0.2566	-1.1527	0.2936	-1.1004	-0.1826	-0.4677	-0.0571	0.201	-0.4087
10206	10206	0.1154	0.695	-0.0268	3.79E-07	0.02013	-0.1133	0.3407	-0.4714	-0.493	0.04354	0.3055	0.3352	0.4382	-0.0009154	0.7466	-0.2637	-0.009447	0.04342	-0.1809	0.4762	-0.3203	-0.193	-0.005766
84527	84527	-0.578	-1.8819	0.2875	0.1787	-0.238	-0.5639	0.0059	-1.268	-0.4466	-1.712	-1.7311	-0.6175	-0.1713	-0.1777	-0.2137	0.7254	-0.7643	0.2924	0.1902	0.8197	0.7383	1.2812	-0.091
81539	81539	1.5127	0.2479	0.4365	-0.1637	1.2133	-0.2931	0.4688	-0.5467	0.3496	-0.2702	0.4755	0.3145	-1.15	0.6259	-0.4692	-0.8685	-0.3139	-0.4472	-0.3008	0.0641	-0.9988	-0.7976	-0.733
7378	7378	-2.676	-3.966	-5.055	-1.746	-4.082	-4.461	-4.606	-3.154	-4.37	-4.932	-5.124	1.632	0.7087	2.222	0.5906	1.489	0.7979	-4.31E-08	1.682	1.279	0.7094	1.302	2.287
