CLID	NAME	SKT009 AML	SKN005 Normal Kidney	SKN003 Normal Kidney	SKN013  Kidney	SKT010 Chromophobe RCCA II	SKT019 Chromophobe RCCA IV	PKT005 Chromophobe RCCA III	SKT014 Oncocytoma	CKT030-Oncocytoma	PKT004 Conventional/granular RCCA II	SKT029-Conventional/granular RCC II	SKT008 Conventional/granular RCCA III	SKT018 Conventional/granular RCCA III	SKT016 Papillary RCCA III	SKT022 Papillary RCCA II	SKT030-Papillary RCC II	PKT001 Conventional/granular RCC III	SKT033-Papillary RCC II	Perth 00-0130 Conventional/clear cell RCC II	PKT003 Conventional/clear RCCA II	SKR012 Conventional/clear RCCA III Thrombus	SKT012 Conventional/clear RCCA III	SKT032-Conventional/clear RCC III	SKR032-Conventional/clear RCC thrombus	CKT002 Conventional/clear RCC III	SKT024 Conventional/clear RCCA II	CKR001 Conventional/clear RCC II Caval Thrombus	CKT001 Conventional/clear RCC II	PKT002 Conventional/clear cell RCCA I	SKT002 Conventional/clear RCCA II	SKT027 Conventional/clear RCCA III	SKT023 Conventional/clear RCCA II	SKT026 Conventional/clear RCCA III	SKT011 Conventional/clear RCCA II	SKT004 Conventional/clear RCCA II	SKT017 Conventional/clear RCCA II	SKT035B-conventional/clear RCC II	Perth 99-1262 Conventional/clear cell RCC II	SKT003 Conventional/clear RCCA III	SKT006 Conventional/clear RCCA II	SKT034-conventional/clear RCC II	Perth 99-1182 Conventional/clear cell RCCA II	CKT006 Conventional/clear RCC I	CKT003 Conventional/clear RCC III
"1=Pcorr_Hypoxia_Low :: Correlation || PLoS Med. 2006 | PMID:16417408, 2=Pcorr_Hypoxia_High :: Correlation || PLoS Med. 2006 | PMID:16417408"	NaN	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_Low_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408	Pcorr_Hypoxia_High_Correlation_PLoS.Med.2006_PMID.16417408
23036	23036	-0.52	-0.76	-0.61	-0.35	-0.01	1	0.55	0.32	0.79	0.56	0.06	-0.56	0.77	0.17	0.06	-0.4	-0.72	-0.43	-0.01	-1.82	-1.52	-1.48	-0.32	-0.06	-0.49	-0.42	0.37	-0.1	0.51	0.47	0.37	0.13	0.21	0.51	0.36	0.2	0.83	-0.11	0.89	0.85	0.55	0.1	0.13	-0.09
11067	11067	1.35	-3.34	-0.395	-1.4817	-1.8225	-1.81	0.18	-0.1988	-0.475	0.94	0.82	-1.575	-2.33	-1.095	-1.99	-0.695	-1.82	-1.82	-0.07	-1.985	1.16	1.53	0.76	1.62	-0.39	1.075	0.01	0.87	-0.5	2.05	1.65	1.955	1	0.1267	-0.265	1.285	0.975	1.7	-0.615	0.6828	0.735	0.645	1.42	-0.555
10397	10397	-2.72	0.4	-0.42	-0.07	-0.17	0.63	0.92	-1.24	-1.99	-0.26	-1.64	-4.34	-0.21	-0.72	-2.27	-1.71	-1.22	-0.26	-0.53	-0.5	0.52	1.54	0.41	0.35	1.54	0.52	0.87	1.48	0	0.5	1.36	0.9	1.12	0.92	0.52	0.13	0.12	0.72	0.91	1.13	1.27	-0.25	0.38	1.33
6513	6513	-1.44	-1.63	-1.22	-1.69	-2.42	-1.3	-0.73	-1.31	-2.52	-1.17	-1.81	-0.56	-1.26	-1.148	-2.82	-2.29	-3.28	-0.94	0.38	-0.05	-0.22	0.6	1.68	1.98	2.28	1.37	2.5	3.24	1.24	0.23	1.47	0.91	1.63	1.32	0.17	0.77	1.24	1.92	0.88	0.63	0.15	0.49	0.97	0.58
9123	9123	-2.53	-2.22	-2.45	-1.76	-0.94	-3.05	-1.68	-0.61	-1.78	-0.31	-3.17	-2.54	-1.29	0.82	0.06	-0.25	-0.71	0.54	0.47	-0.55	1.21	1.86	1.87	1.94	1.41	1.13	0.5	1.48	1.55	0.09	0.63	0.25	0.78	0.51	0.01	0.82	0.74	0.78	1.04	0.97	0.83	0.92	1.17	1.45
2116	2116	0.98	0.69	0.75	1.05	4.23	0.427777778	1.52	1.67	1.91	2.18	1.96	2.44	0.17	1.21	-0.28	0.37	-1.8	0.45	-0.95	-1.32	0.61	1.07	-1.76	-1.03	0.53	-0.67	-1.86	0.184444444	-0.51	-0.64	0.14	-0.87	-0.72	-0.9	-1.2	-2.04	-1.43	-0.75	-0.57	-0.105	-3.46	-1.04	0.16	-0.23
5351	5351	-0.1	0.2	-0.74	-0.6	-1.795	-1.6	-1.61	-1.62	-2.12	-1.22	-1.05	0.22	-0.32	-0.31	-1.46	-0.64	-0.82	0.15	-0.3	0.1	1.55	2	0.43	0.98	1.34	0.95	0.54	1.002222222	1.2	0.39	1.19	0.08	0.06	0.23	0.2	0.65	-0.24	0.28	0.52	0.18	0.14	0.06	0.71	0.4
284439	284439	-0.03	2.47	0.84	1.28	0.46	-0.45	-0.13	-0.82	-1.07	-0.58	-1.265555556	1.6	-0.57	-0.48	-1.7	-0.99	-1.18	-0.68	-1.89	-0.41	-0.8	0.78	-0.47	-1.85	1.07	-1.07	0.05	0.81	0.28	0.63	0.99	-0.17	0.36	-0.4	0.61	0.07	-0.6	-0.09	1	0.47	0.13	1.25	0.76	0.51
10144	10144	0.57	-0.485	-0.29	-0.7138	-0.2556	0.31	0.165	-0.195	-0.28	-0.685	-1.6825	0.64	-2.26	-1.365	-1.52	-1.2178	-1.48	-0.583	0.065	-1.475	-1.2281	-0.1187	-0.51	0.545	2.15	-0.06	1.79	1.7483	1.2	0.75	-0.66	1.205	0.34	1.455	0.895	-0.54	-0.28	0.715	1.33	-0.195	0.335	-0.52	-0.295	0.41
