CLID	Name	Log2 Ratio (TBCC vs NBE)
IGS=Log2 Ratio (TBCC vs NBE)	NaN	Pcorr_IGS_Correlation_NJEM.2007_PMID.17229949
202	202	-1.3
334	334	-1.1
471	471	1
596	596	-2.1
966	966	-1.3
1052	1052	-1.8
1153	1153	-2
1213	1213	1.1
1432	1432	2
1457	1457	1.3
1477	1477	1.6
1788	1788	1.1
2012	2012	-1.9
2066	2066	-1.8
2081	2081	-1.5
2113	2113	-1.7
2317	2317	-1.5
2597	2597	1.1
3176	3176	-1.5
3337	3337	-1.6
3939	3939	1
4057	4057	-3.4
4137	4137	-2.1
4256	4256	-2.7
4287	4287	1.5
4291	4291	-1.4
4316	4316	-1.9
4850	4850	1.3
5037	5037	-1.4
5062	5062	1.3
5151	5151	2
5230	5230	1.1
5355	5355	2.1
5686	5686	1
5887	5887	1.3
5977	5977	2.2
6421	6421	-2.5
6451	6451	-2
6638	6638	-1
6729	6729	1
6745	6745	1
7071	7071	-1.2
7163	7163	-1.1
7430	7430	-1
7465	7465	-1.8
8027	8027	1.3
8470	8470	-1.4
8540	8540	1.9
8614	8614	-4
8846	8846	1
8872	8872	1.1
9025	9025	1.1
9213	9213	1.2
9276	9276	1.1
9330	9330	1
9373	9373	1.1
9470	9470	1.3
9567	9567	-1.1
9581	9581	2.6
9653	9653	2
9857	9857	1.5
10007	10007	1.8
10092	10092	1.3
10238	10238	1.4
10279	10279	-1.2
10379	10379	1.9
10406	10406	-1.3
10590	10590	-1
10766	10766	-1
11015	11015	2
11164	11164	1.6
11221	11221	-1.2
22936	22936	-1.4
23015	23015	-2.5
23075	23075	-1.1
23227	23227	-2
23317	23317	1.3
23446	23446	-1.3
23463	23463	1.2
23517	23517	1.1
23678	23678	-1.7
23764	23764	-2.1
25917	25917	1.7
25953	25953	1
26010	26010	1.3
26137	26137	-1.5
26610	26610	1
27252	27252	1.4
27347	27347	1.7
29097	29097	1.7
29950	29950	-1.9
29990	29990	-1.1
51029	51029	1.8
51163	51163	1.4
51201	51201	-2.1
51278	51278	-1.2
51307	51307	-1.2
51520	51520	-1
51715	51715	1.2
54887	54887	1.9
55035	55035	2.3
55181	55181	1.1
55226	55226	1.2
55268	55268	-2
55500	55500	-1.6
55656	55656	1.7
55856	55856	1.4
56243	56243	-2.3
56672	56672	1.5
56898	56898	-1.4
56994	56994	-2.1
57035	57035	-1.1
57120	57120	1.1
58533	58533	1.2
64327	64327	1.1
79005	79005	1.7
79020	79020	1.2
79023	79023	1.6
79191	79191	-1.5
79572	79572	1.1
79622	79622	1.2
79679	79679	-2.1
81552	81552	2.2
81565	81565	-1
81573	81573	1.1
83591	83591	-1.5
83856	83856	1.7
83989	83989	-1.2
84275	84275	-1.2
84336	84336	-2
84836	84836	-1.5
85365	85365	1.6
90634	90634	-1.7
130576	130576	-2
285440	285440	-1.2
