CLID	Name	Pcorr_primitive_CCR.2010_PMID.20643781	Pcorr_classical_CCR.2010_PMID.20643781	Pcorr_secretory_CCR.2010_PMID.20643781	Pcorr_basal_CCR.2010_PMID.20643781
CLID	Name	Pcorr_primitive_CCR.2010_PMID.20643781	Pcorr_classical_CCR.2010_PMID.20643781	Pcorr_secretory_CCR.2010_PMID.20643781	Pcorr_basal_CCR.2010_PMID.20643781
23028	AOF2|23028	0.608561886	-0.082855779	-0.203398079	0.076400968
11013	TMSL8|11013	1.187441873	-0.218526751	-0.10747844	0.09712756
6434	SFRS10|6434	0.155651093	0.193638875	-0.345081386	-0.044650306
56997	CABC1|56997	0.376945969	0.102955838	-0.012075851	-0.261254216
4072	TACSTD1|4072	0.564968824	0.447360516	-0.324654171	-0.83823614
23020	ASCC3L1|23020	0.316517473	0.076184475	-0.265788421	-0.168633212
752	FMNL1|752	-0.219072441	-0.176408751	0.459318612	0.069978838
3002	GZMB|3002	-0.373994791	-0.282199437	0.803442861	-0.09389959
55603	FAM46A|55603	-0.049356566	-0.454231729	0.361575443	0.425587667
2736	GLI2|2736	-0.311161478	0.574330301	-0.172127602	-0.085866084
6280	S100A9|6280	-1.427439141	-0.280011309	-0.14456169	2.287832054
4733	DRG1|4733	0.128437743	0.14556443	-0.42931306	0.027574816
79838	TMC5|79838	-0.115261995	-0.303361413	1.040234828	0.114116845
51703	ACSL5|51703	-0.095850302	-0.346730863	0.920562507	0.097961703
6318	SERPINB4|6318	-1.778505905	-0.015827345	-0.840787546	2.37052466
79960	PHF17|79960	0.253830478	-0.182825473	0.236355685	-0.158344841
5791	PTPRE|5791	-0.398861753	-0.268224475	0.668706903	0.05155313
330	BIRC3|330	-0.544763432	-0.338642922	0.893012816	0.014805362
30851	TAX1BP3|30851	-0.430052048	-0.084980221	0	0.574722412
56548	CHST7|56548	-0.852343399	1.409630502	-0.876547536	-0.294086246
8829	NRP1|8829	-0.124668569	-0.162359368	0.477623268	0.087209069
9616	RNF7|9616	-0.113322523	0.389448173	-0.518725104	0.08476693
8626	TP63|8626	-0.9460616	0.776519968	-1.043007867	0.161462613
837	CASP4|837	-0.37499911	-0.15631065	0.390962918	0.111762193
25780	RASGRP3|25780	-0.137173569	-0.204139556	0.820404227	-0.07121386
4332	MNDA|4332	-0.7926199	-0.43215625	0.87800898	0.196632904
3298	HSF2|3298	0.293830854	0.060404389	-0.133945605	-0.079130126
2304	FOXE1|2304	-1.231762594	1.672503262	-1.378870379	-0.065030819
56649	TMPRSS4|56649	-1.389831869	0.558555867	-1.735766734	0.407320426
89853	FAM125B|89853	0.187508667	0.037789502	0.058469357	-0.262622358
1969	EPHA2|1969	-0.592488771	-0.058689177	-0.170875785	0.65203435
3684	ITGAM|3684	-0.266208202	-0.160568131	0.607902727	0.001129699
8508	NIPSNAP1|8508	0.296065712	0.189136206	-0.332539611	-0.057816333
5920	RARRES3|5920	-0.452023443	-0.165226724	0.885505753	-0.212051096
8975	USP13|8975	0.640968955	0.085190535	-0.124874915	-0.377451043
7851	MALL|7851	-0.90806531	-0.032182002	0.28104077	0.487043551
23048	FNBP1|23048	-0.016889171	-0.103185433	0.408538919	-0.185308948
1830	DSG3|1830	-2.969909321	0.858858232	-3.105002444	0.831044537
2709	GJB5|2709	-1.183895682	0.261313991	-1.035538636	0.589470756
64065	PERP|64065	-0.349612263	0.445028923	-0.940816343	0.227325299
