CLID	Name	Pcorr_bronchioid_PLOS.2012_PMID.22590557	Pcorr_magnoid_PLOS.2012_PMID.22590557	Pcorr_squamoid_PLOS.2012_PMID.22590557
CLID	Name	Pcorr_bronchioid_PLOS.2012_PMID.22590557	Pcorr_magnoid_PLOS.2012_PMID.22590557	Pcorr_squamoid_PLOS.2012_PMID.22590557
701	BUB1B|701	-0.658453621	0.438659563	0.543092251
983	CDC2|983	-0.699117415	0.37751738	0.36351427
9787	DLG7|9787	-0.491586477	0.475646362	0.549853758
92086	GGTLA4|92086	0.685747464	-0.255249737	-0.567998151
10135	PBEF1|10135	-0.523776396	0.311170213	0.477234255
29923	HIG2|29923	-0.432362997	0.266108402	0.416895554
55355	DKFZp762E1312|55355	-0.540432686	0.188574226	0.307894501
55332	DRAM|55332	0.59969725	-0.261288815	-0.215744962
79170	ATAD4|79170	0.52362956	-0.220483707	-0.8818468
51557	GLULD1|51557	-0.47063267	0.884333285	-0.734971902
3128	HLA-DRB6|3128	0.416579513	-0.385356884	0.170989192
54440	CXorf9|54440	0.26188991	-0.367727787	0.311820764
7257	TSNAX|7257	-0.231713937	0.364475794	-0.202091308
128872	HMG4L|128872	-0.188942572	0.363278964	-0.153150125
55197	P15RS|55197	-0.319305474	0.35557861	0.002086784
54845	RBM35A|54845	-0.266505348	0.378444573	-0.188682468
25849	DKFZP564O0823|25849	0.389297443	-0.080218545	-0.915098622
3620	INDO|3620	-0.115462436	-0.176050215	0.812417655
55638	GOLSYN|55638	0.178109551	0.213042873	-0.716610914
26010	LOC26010|26010	-0.10127925	-0.235099377	0.519368177
3783	KCNN4|3783	-0.092772616	-0.507596686	0.541244594
722	C4BPA|722	0.857249079	-0.271642935	-1.193997194
6236	RRAD|6236	0.680050118	-0.366178329	0.000685599
4818	NKG7|4818	-0.077133712	-0.121270056	0.699854477
55872	PBK|55872	-0.434503373	0.588151896	0.281823043
3002	GZMB|3002	-0.309769126	0.04519868	0.838326351
6440	SFTPC|6440	1.709784491	-1.030310655	-1.525992164
5901	RAN|5901	-0.497830218	0.370364235	0.231623882
83442	SH3BGRL3|83442	0.099896942	-0.261274739	0.443082211
7412	VCAM1|7412	-0.277114593	-0.196061521	1.017411121
341	APOC1|341	0.411501824	-0.433384279	0.192187719
8857	FCGBP|8857	0.736861069	-0.436744666	-0.166352829
2277	FIGF|2277	0.785306742	-0.177727633	-0.322183112
79838	TMC5|79838	0.476800349	-0.029931633	-0.879437705
6624	FSCN1|6624	-0.176694966	-0.159355389	0.880904697
2065	ERBB3|2065	0.144740568	0.151535095	-0.464985484
3015	H2AFZ|3015	-0.480278699	0.227037487	0.405905166
11113	CIT|11113	0.447596765	0.484360249	-0.76026799
3336	HSPE1|3336	-0.451809468	0.313310874	0.056918554
6059	ABCE1|6059	-0.353031807	0.20123295	0.301536171
259266	ASPM|259266	-0.822571753	0.611099523	0.711797883
54	ACP5|54	0.278565118	-0.318841813	0.260954287
9404	LPXN|9404	0.217434726	-0.340032911	0.558580389
22797	TFEC|22797	-0.03378223	-0.106668778	0.511514684
911	CD1C|911	0.456126938	-0.233646363	-0.152599512
3394	IRF8|3394	0.266638692	-0.373711848	0.288263423
837	CASP4|837	-0.128764964	-0.18813099	0.527356335
1474	CST6|1474	0.17750884	-0.522419216	1.099494782
3371	TNC|3371	0.143382142	-0.615304953	0.916594865
825	CAPN3|825	0.48959342	-0.195692773	-0.146055223
4320	MMP11|4320	-0.105008197	-0.174990051	0.634678556
64581	CLEC7A|64581	0.11745515	-0.314353121	0.554961184
6362	CCL18|6362	-0.028428124	-0.368244593	0.875899383
664	BNIP3|664	-0.423137248	0.482458203	-0.059863955
2327	FMO2|2327	0.73095032	-0.341659859	-0.4119705
55165	CEP55|55165	-0.689129827	0.626299211	0.702142909
5909	RAP1GAP|5909	0.706850108	0.001662058	-0.745923314
1512	CTSH|1512	0.99414417	-0.519559808	-0.467720973
10752	CHL1|10752	-0.2505013	0.490740594	-0.236309394
23022	PALLD|23022	0.011616043	-0.191363189	0.505438279
8406	SRPX|8406	0.393305691	-0.296718541	0.162825664
2532	DARC|2532	0.554681237	-0.275857176	-0.072430001
4332	MNDA|4332	0.146921712	-0.425455741	0.931795285
1675	CFD|1675	0.755612887	-0.465630486	0.056669062
3170	FOXA2|3170	0.585271091	-0.245122189	-0.72408318
7153	TOP2A|7153	-0.987734165	0.662721781	0.727753027
29842	TFCP2L1|29842	0.038163749	0.172015921	-0.51159902
29789	OLA1|29789	-0.4161184	0.246622158	0.090268132
51002	TPRKB|51002	-0.528075002	0.267070442	0.276550595
929	CD14|929	0.021626843	-0.573490873	0.676585123
951	CD37|951	0.4277229	-0.499539785	0.443859728
9935	MAFB|9935	0.05027074	-0.345317171	0.732121077
4321	MMP12|4321	-0.940875044	0.297038112	1.292863945
7272	TTK|7272	-0.32340534	0.304832535	0.309679763
7103	TSPAN8|7103	0.161167891	0.946669251	-1.563659039
3684	ITGAM|3684	0.36349059	-0.413520233	0.501134406
5920	RARRES3|5920	0.215435113	-0.65345571	0.301466971
50515	CHST11|50515	-0.160793376	-0.093430697	0.528255364
3071	NCKAP1L|3071	0.1920136	-0.32121697	0.345768085
4128	MAOA|4128	0.226173916	0.100712353	-0.598844977
29088	MRPL15|29088	-0.466067374	0.310535825	0.309638918
6999	TDO2|6999	-0.237178579	-0.015983792	0.763140077
9833	MELK|9833	-0.737010586	0.363067993	0.594287843
23327	NEDD4L|23327	0.091865008	0.192260523	-0.468671599
54892	NCAPG2|54892	-0.514210469	0.247740109	0.389477084
5225	PGC|5225	1.511504074	-0.020284328	-0.819932651
3034	HAL|3034	-0.124462613	0.6911104	-0.211822777
5552	SRGN|5552	-0.056487874	-0.365166638	0.549011459
3149	HMGB3|3149	-0.468088482	0.819180541	-0.301608967
