CLID	NAME	Ca6687 || Present	Ca7367 || Present	Ca9079 || Present	Ca7845 || Present	Ca7722 || Present	Ca7589 || Present	Ca7102 || Present	Ca7811 || Present	Ca11460 || Present	Ca7422 || Present	Ca7493 || Present	Ca8196 || Present	Ca9298 || Present	Ca7732 || Present	Ca7246 || Present	Ca6537 || Present	Ca6388 || Present	Ca8610 || Present	Ca7921 || Present	Ca6257 || Present	Ca8212 || Present	Ca6716 || Present	Ca6014 || Present	Ca7549 || Present	Ca8560 || Present	Ca6144 || Present	Ca7604 || Present	Ca10289 || Present	Ca7357 || Present	Ca8401 || Present	Ca11620 || Present	Ca11442 || Absent	Ca7244 || Absent	Ca11829 || Absent	Ca9909 || Absent	Ca7495 || Absent	Ca7461 || Absent	Ca6125 || Absent	Ca8237 || Absent	Ca10960 || Absent	Ca6042 || Absent	Ca7106 || Absent	Ca7982 || Absent	Ca7214 || Absent	Ca6474 || Absent	Ca6464 || Absent	Ca6188 || Absent	Ca8333 || Absent	Ca6061 || Absent	Ca6366 || Absent	Ca7408 || Absent	Ca6617 || Absent	Ca9126 || Absent	Ca8582 || Absent	Ca9174 || Absent	Ca8174 || Absent	Ca11205 || Absent	Ca10109 || Absent	Ca9539 || Absent	Ca6318 || Absent	Ca9795 || Absent	Ca6146 || Absent	Ca6012 || Absent	Ca13351 || Absent	Ca6206 || Absent	Ca6219 || Absent	Ca10419 || Absent	Ca10481 || Absent	Ca11379 || Absent	Ca6165 || Absent	Ca11570 || Absent	Ca11968 || Absent	Ca10591 || Absent	Ca7609 || Absent	Ca6110 || Absent	Ca9159 || Absent	Ca6021 || Absent	Ca8173 || Absent	Ca9765 || Absent	Ca7366 || Absent	Ca7151 || Absent	Ca10335 || Absent
NaN	NaN	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Present_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630	Scorr_PTEN_Absent_Correlation_PNAS.2007_PMID.17452630
3983	ABLIM1	-0.1302	-0.2076	-0.3309	-0.1238	-1.059	-0.5453	0.0349	0.9152	1.064	-0.2204	-0.2973	0.8195	0.5865	0.1707	-0.9774	0.0212	-0.8175	-0.6408	-1.434	-1.366	-0.729	0.3992	-0.0958	0.264	0.0232	-1.809	0.6263	-0.9844	0.3663	-0.6917	0.4175	-0.8961	0.6218	0.3376	-0.9924	-0.0956	0.0452	-0.0911	-0.4528	0.2913	0.2318	0.0076	0.0016	-0.053	-0.5459	-0.2524	-0.298	0.9745	0.2471	2.78E-08	-0.3105	-0.0345	-0.3052	0.0878	0.1658	0.406	-0.0103	-0.4619	-0.1936	0.5572	-0.1251	0.6648	-0.4483	0.3584	0.4715	0.4817	0.2368	0.224	0.4575	1.3	0.671	-0.9741	-0.3189	-0.954	-1.274	-0.676	-1.394	-0.2378	-0.1217	-1.4	1.367	0.4474
5169	ENPP3	-0.4953	-0.736	0.1737	0.8691	-1.293	-0.2416	-0.5559	0.08371	0.1201	0.06673	-0.2765	-0.6956	-0.07633	-1.167	-0.75308	-0.3929	-0.675778889	-0.6231	0.2737	-1.376	-0.08631	-0.8212	-0.8179	-0.1001	-1.399	0.1691	-1.358	-0.4831	0.03743	-0.1043	0.9585	-0.8379	-0.027811	-0.2574	-1.284	-0.7158	1.437	-0.29	-1.048	-0.4621	-0.01176	-2.52E-08	0.30785	0.4391157	-0.8618	0.0826	-0.5974	5.083	0.5502	0.214049803	0.07457	0.367	1.777	1.805	-0.2471	0.9528	0.004479	-0.1963	-1.327	0.02094	0.7653	0.03147	-0.2612	4.212	-0.2912	0.5629	0.321	0.366976	0.1692	0.432497	0.1893	-0.9848	0.484504	-0.2717	0.05958	-0.1797	-0.343335	-0.7341	0.1734	-0.282424	0.366696667	1.782
8510	MMP23B	-0.0053	-0.1097	-0.4404	-0.3477	-0.194	0.3481	-0.0472	0.1882	0.1028	0.4284	-1.115	-0.4899	0.0393	-0.4881	-0.1103	-0.8899	-0.821	-0.2834	-0.7277	0.0003	-0.6412	-0.4219	0.2161	-0.2348	0.3947	-0.0852	-0.0209	-0.1216	0.0757	0.6716	0.1441	0.7908	0.9129	-0.3432	0.6052	-0.1269	-0.0085	0.1818	-0.4232	0.2969	0.163	-0.1404	0.29	0.4698	0.3513	-0.2072	-0.1402	-0.3769	-0.2243	0.4141	0.6601	0.3031	0.4105	0.2212	0.1499	0.026	-0.4038	-0.1996	-0.2368	-0.0061	-0.3929	0.2813	-0.1594	0.327	0.0479	0.0559	0.0027	0.4968	0.4346	0.0484	-0.2175	0.5141	0.8148	-0.1807	0.0135	0.1097	-0.0401	-0.4045	0.3173	0.2763	0.7923	-0.2871
2281	FKBP1B	-0.4105	0.3997	0.096	0.3241	-0.3114	0.1271	-0.4643	-0.3554	-0.1186	0.0195	0.1378	-0.0863	-0.3366	-0.2969	0.3488	0.0202	-0.8868	-0.0993	0.0642	-0.458	-0.4538	-0.1727	-0.6217	-0.3553	-0.3557	-0.2042	0.1627	0.0854	-0.1913	-0.1521	-0.0614	0.1496	-0.1187	-0.4561	-0.6959	0.1651	0.4507	0.804	-0.5839	-0.2176	0.1082	0.0889	0.8846	0.6797	0.4946	1.286	-0.1825	-0.1481	-0.0835	0.5621	0.1569	6.10E-09	0.3348	-0.1166	0.574	0.3049	-0.3062	0.0696	-0.1971	0.187	0.3658	0.7016	0.4467	-1.057	0.4004	0.0743	-0.0709	0.2239	-0.1281	0.4268	-0.5853	1.266	0.0004	0.1909	0.6401	-0.193	-0.1121	-0.2317	-0.4873	-0.0319	0.2164	0.1832
11337	GABARAP	-0.05004	0.06712	-0.006786	-0.1775	0.3064	-0.3265	-0.5754	-0.1385	-0.557	0.2089	-0.01372	-0.3876	0.05326	-0.2212	0.01906	-0.3645	0.1231	-0.503	-0.6861	-0.4225	-0.4843	-0.3636	-0.1939	-0.2164	-0.8153	0.9634	-0.05653	-0.311	-1.022	-0.3519	-0.1798	-0.03713	-0.05666	-0.1074	-0.4361	0.1674	0.1554	-0.02262	-0.2371	0.08925	0.3743	0.4663	-0.2587	0.5182	1.031	0.3221	0.6165	0.05772	0.5413	0.2935	0.6455	0.6343	0.0669	0.1533	0.6003	0.4606	0.07542	0.02402	-0.1369	0.4104	0.3393	0.294	0.8749	-0.06057	0.03642	0.4226	-0.07342	0.2304	-0.2572	-0.2083	-0.6645	0.2635	0.1806	-0.1004	0.4454	0.7555	-0.01104	-0.09604	0.3999	0.1642	0.3145	0.3995
1265	CNN2	-0.5173	-0.378	0.4737	-0.0215	0.006	-0.4817	0.1032	-0.9028	-1.287	0.7135	-0.5858	-1.005	0.7081	0.3766	-0.5059	1.03	-0.4133	-1.403	-0.7314	-0.9691	-0.3753	-0.1568	-0.3802	0.4397	0.641	-0.4262	-1.257	-0.8254	-0.6412	0.0693	-0.2264	-0.0203	-0.2108	-0.1549	-0.6271	-0.2231	0.772	0.072	-0.4492	0.6872	-0.6284	0.4249	-1.559	1.245	-0.0189	-0.6378	0.7421	-0.0953	-0.2283	-0.4394	0.8223	-0.1039	0.4745	0.5454	0.4419	0.936	0.9926	0.4755	0.526	0.575	0.5686	0.3281	-0.14	0.7775	0.6747	0.7727	-0.0658	1.571	0.5203	0.4701	0.6188	0.1926	0.7658	0.6842	0.2147	-1.028	1.047	0.8448	0.9323	0.7854	1.526	-0.0433
89122	TRIM4	-0.4903	-0.1313	0.7921	-0.3489	-0.4243	0.0041	-0.1354	-0.3194	-0.9603	0.4618	-0.2355	-0.9322	-0.1832	-0.2338	0.0947	-1.006	-2.036	-0.074	-0.9823	-0.5288	-0.5301	-0.6271	-0.3912	1.203	-0.0396	0.2693	-0.6354	-0.0942	-0.2835	-1.193	0.028	0.2691	0.1081	-0.9764	-0.2155	1.058	-0.3705	0.7093	-0.3353	-0.5397	1.047	0.5798	1.177	-0.4391	0.5084	0.3405	-0.5155	-0.1581	0.5723	1.295	0.0486	0.9806	0.7984	0.6008	0.4332	0.4239	0.3009	0.1291	0.161	0.4796	0.4576	0.4649	1.335	-0.2483	-0.4211	0.3228	0.2854	0.3702	-0.385	0.5297	0.5262	-0.2727	0.6821	0.3177	0.738	-0.6518	-0.4249	0.5026	-0.1721	-0.9277	0.939	0.8173
55101	FLJ10241	-0.03477	-0.391	0.3212	-0.3761	-0.01323	-0.2152	-0.1969	-0.7984	-0.6654	0.2653	-0.7365	-1.588	-0.2514	0.008828	0.1496	-1.044	-0.9381	-0.3757	-0.7416	0.3015	-0.9072	-0.5415	-0.2399	0.2073	-0.3454	-0.8459	0.3438	-0.4377	0.1049	0.3723	0.07622	0.3355	3.16E-09	-0.178	0.137	-0.1048	0.225	-0.1481	0.2774	-0.3733	0.7891	0.2844	0.4254	0.3133	0.2548	0.01768	0.5759	-0.2476	-0.1575	0.7861	0.173	0.4237	0.2043	-0.1732	0.1732	-0.01922	0.1962	-0.1008	0.05508	-0.1505	-0.3175	0.04133	0.1651	0.3105	-0.06067	0.119	0.1807	0.5561	0.04797	0.2034	0.1901	-0.4394	-0.1937	0.2755	0.003469	-0.04833	-0.03983	0.3056	0.06763	0.1432	0.599	-0.4414
8576	STK16	-0.1112	-0.8359	-0.2345	-0.1791	-0.5862	0.1149	-0.1574	-0.0716	-0.8179	0.3041	-0.6949	-0.5658	-0.1956	0.4828	0.6451	-0.395	-1.238	0.06005	-0.6825	-0.4363	0.2161	-0.7557	-0.02248	-0.2286	0.1909	-0.05227	-0.5759	-0.1116	-0.2554	-0.09563	-0.1294	0.1736	-0.3627	-0.2095	0.03601	-0.1659	-0.111	0.287	0.04676	-0.429	0.5632	0.1917	0.06534	0.1258	-0.1656	0.1445	0.08573	-0.2045	0.3847	0.4259	0.1997	0.2329	0.3315	0.1952	-0.2934	-0.3699	0.2753	0.04595	-0.236	-0.2382	0.0157	0.154	0.5079	0.08202	-0.4487	-0.2073	-0.3201	0.159	0.09214	0.5354	-0.1498	-0.5222	0.1623	0.2257	-0.228	0.05893	0.2227	0.05002	0.297	-0.2569	0.8249	-0.3188
