""	"MS"	"mL"
"1"	0	0
"10"	0	0.004
"100"	-0.004	-0.009
"1000"	0.009	0.011
"10000"	0.004	-0.001
"10001"	0.001	-0.004
"10002"	0	0.007
"10003"	0.002	0
"100033414"	0.001	0.003
"100033416"	0.002	0.004
"10004"	0.012	-0.001
"10005"	-0.011	-0.004
"10006"	-0.003	-0.002
"10007"	-0.001	0.001
"10008"	-0.001	0
"10009"	-0.006	-0.007
"1001"	0.006	-0.014
"10010"	0.001	-0.002
"10011"	0.005	0.001
"10013"	-0.001	0.003
"10014"	0	0
"10015"	-0.007	-0.007
"10016"	0	0.001
"10017"	-0.004	-0.006
"10018"	0.012	0.005
"10019"	0.008	0.005
"1002"	0.015	-0.007
"10020"	-0.011	-0.011
"10021"	0	0
"10022"	0	-0.001
"10023"	-0.006	-0.002
"10024"	-0.01	-0.015
"10025"	-0.006	0.005
"10026"	-0.006	0.008
"1003"	0.015	-0.009
"10036"	-0.008	-0.007
"10038"	-0.007	0.002
"10039"	-0.008	0
"1004"	0.001	0.004
"10040"	-0.015	0.008
"10042"	0.001	0.003
"10043"	-0.012	-0.006
"10044"	0.004	0.001
"10045"	0.011	0.012
"10046"	0.013	0.002
"10047"	0.001	0.002
"10048"	0.001	0.001
"10049"	0.002	-0.002
"1005"	-0.001	0
"10050"	-0.001	-0.001
"10051"	-0.002	-0.002
"10052"	0.005	0
"10053"	-0.008	0.002
"10054"	0.002	-0.004
"10055"	0	0.003
"10056"	0.001	-0.003
"10057"	0	-0.004
"10058"	0.001	-0.013
"10059"	0.007	0.007
"1006"	0.004	-0.002
"10060"	-0.002	-0.003
"10061"	0.007	-0.007
"10062"	-0.016	-0.013
"10063"	-0.001	0.009
"10066"	-0.001	0.006
"10067"	0.003	-0.003
"10068"	0	0.003
"10069"	-0.001	-0.003
"1007"	-0.001	-0.001
"10071"	0.001	0.001
"10072"	-0.004	0.002
"10073"	-0.003	0
"10075"	-0.006	-0.015
"10076"	0.002	-0.001
"10077"	0	-0.001
"10078"	0.004	0
"10079"	-0.007	0.002
"1008"	0	0
"10081"	0.001	-0.003
"10082"	0.003	-0.002
"10083"	0	0.001
"10084"	-0.001	-0.004
"10085"	0.002	0
"10086"	-0.001	0.002
"10087"	0.008	0.003
"10089"	0.003	-0.002
"1009"	0.02	-0.009
"10090"	0.008	-0.016
"10092"	0.004	0.003
"10093"	-0.003	0.001
"10094"	-0.007	0.004
"10095"	-0.005	0.005
"10096"	0.001	-0.004
"10097"	-0.008	0
"10098"	0.018	0.037
"10099"	-0.002	0.007
"101"	-0.012	-0.01
"1010"	0.003	-0.004
"10100"	-0.001	-0.005
"10101"	-0.001	-0.002
"10102"	-0.014	0
"10103"	-0.002	0.015
"10105"	0.007	-0.003
"10106"	-0.01	0
"10107"	0	0
"10109"	0.004	0
"1011"	0.001	0
"10110"	0.001	0
"10111"	-0.003	-0.002
"10112"	-0.012	-0.016
"10113"	-0.003	-0.002
"10114"	0.005	0.004
"10116"	0.005	0.009
"10117"	0.001	0.002
"1012"	0.021	-0.002
"10120"	-0.012	0
"10121"	-0.001	0.002
"10123"	0.001	-0.015
"10124"	0.016	0.005
"10125"	-0.023	-0.015
"10126"	-0.005	0.008
"10127"	0.007	0
"10128"	-0.002	-0.015
"10129"	0	0.001
"1013"	0.007	0
"10130"	-0.004	-0.004
"10131"	-0.006	-0.016
"10133"	-0.014	-0.007
"10134"	-0.001	0.003
"10135"	-0.005	0.003
"10136"	0.002	0.001
"10137"	0.001	-0.001
"10138"	0.005	-0.003
"10139"	0.002	-0.003
"1014"	-0.001	-0.001
"10140"	-0.006	-0.004
"10141"	-0.001	0.001
"10142"	0.002	0.002
"10143"	0	0.002
"10144"	-0.003	-0.013
"10146"	0.003	-0.003
"10147"	-0.003	-0.002
"10148"	-0.033	-0.03
"10149"	-0.014	-0.015
"1015"	0.002	-0.002
"10150"	0.007	0.014
"10151"	0	-0.002
"10152"	0.001	0.003
