CLID	Name	BC711B-BE	BC711A-AF	BC213B-BE	BC605B-BE	BC14	BC114A-BE	BC709B-BE	BC206B-AF	BC35-0	BC206A-BE	BC305B-AF	BC305A-BE	BC16	BC-A	BC713A-BE	BC120B-AF	BC120A-BE	BC790	BC119B-AF	BC119A-BE	BC205B-AF	BC-HBC5	BC23	BC208B-AF	BC208A-BE	BC606B-AF	BC404B-BE	BC404A-AF	BC805B-AF	BC805A-BE	BC115B-BE	BC214B-BE	BC214A-AF	BC111B-BE	BC2	BC123B-BE	BC123A-AF	BC107B-BE	BC107A-AF	BC309A-BE	BC111A-BE	BC706B-AF	BC706A-BE	BC303B-BE	BC303A-AF	BC121A-AF	BC807A-BE	BC-HBC3	BC110B-BE	BC112B-BE	BC112A-AF	BC808A-BE	BC808A-AF	BC708A-AF	BC-HBC4-T1	BC115A-AF	BC702B-BE	BC708B-BE	BC17	BC121B-BE	BC4-LN4	BC31-0	BC118B-BE	BC118A-AF	BC124B-AF	BC124A-BE	BC702A-AF	BC704B-AF	BC608B-BE	BC608A-AF	BC503B-BE	BC108A-BE	BC106B-BE	BC106A-AF	BC201B-BE	BC405A-BE	BC108B-AF	BC405B-AF	BC210B-AF	BC125A-BE	BC125B-AF	BC-HBC2	BC104B-AF	BC104A-BE	BC117A-BE	BC710B-AF	BC610A-BE	BC40	BC24	BC38	BC1257-MET	BC116A-BE	BC710A-BE	BC308B-BE	BC110A-AF
"(P53_Mut=2,.P53_Wt=1)"	NaN	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Mut_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101	UNC_Scorr_P53_Wt_Correlation_BMC.Cancer.2006_PMID.17150101
595	IMAGE:841641 || cyclin D1 (PRAD1: parathyroid adenomatosis 1) AA487486 	0.561	-0.228	1.023	0.912	0.371	-0.741	-1.582	-0.706	-0.024	0.148	-2.109	-0.854	-0.242	-0.404	-0.857	-2.26	-2.551	0.969	-0.717	-0.83	-3.412	-3.533	-1.495	-0.24	-0.466	-2.149	-2.204	-1.852	-1.082	-1.02	-2.498	-2.869	-2.316	-0.98	-0.893	1.204	1.405	-0.234	0.435	0.556	-1.567	-0.563	-0.676	-0.855	-0.705	-1.621	-2.834	-0.513	1.258	0.627	1.182	1.654	2.908	1.697	0.595	-0.347	-1.262	1.208	-0.04	-0.538	0.587	0.691	1.049	1.15	1.696	2.225	-1.2	0.516	0.792	0.694	-0.576	0.856	0.902	0.536	0.891	-0.321	0.645	0.159	-0.186	0.992	0.327	1.576	0.391	0.804	0.12	0.811	0.053	0.52	1.427	1.625	1.887	2.203	-0.443	-2.465	-0.161
890	IMAGE:950690 || cyclin A2 AA608568 	-0.002	0.117	0.79	1.376	0.079	-0.068	0.579	-0.393	-0.651	0.246	0.35	0.635	-0.042	0.176	0.19	0.541	1.494	-0.07	1.364	1.62	1.14	-0.34	0.585	1.419	1.226	0.955	0.369	0.449	0.786	0.876	1.349	0.677	0.86	0.979	0.847	0.255	-0.252	0.498	-0.594	0.322	-0.54	-1.129	-0.732	-0.724	0.723	0.432	0.036	-0.595	0.451	0.237	-0.199	0.611	-0.08	-0.58	-0.335	-0.566	-0.561	-0.069	-0.97	-0.212	-0.143	-0.375	-1.387	-0.917	-0.612	-0.482	0.49	-0.253	-1.498	-2.143	-0.585	-0.411	-0.786	-0.655	-0.786	-0.149	0.214	-0.224	-0.375	0.242	0.394	-0.622	-1.603	0.315	0.366	-0.707	-1.165	0.174	0.077	-0.987	0.089	-0.1	-0.595	0.256	0.462
983	"IMAGE:898286 || cell division cycle 2, G1 to S and G2 to M AA598974 "	-0.768	-0.484	0.255	-0.47	0.058	-0.508	0.359	0.177	1.075	0.58	0.245	0.276	1.057	0.657	0.223	0.388	0.6	-0.002	0.388	-0.13	0.821	0.464	0.675	0.858	1.162	0.971	0.395	0.602	1.272	1.72	1.435	1.226	0.959	0.5	1.441	0.486	-0.387	0.634	0.189	-0.548	0.976	0.349	0.583	1.605	1.437	0.704	-0.038	0.409	0.806	0.119	-0.66	0.611	0.308	-0.491	0.008	-0.347	-0.308	-0.42	-0.93	-0.115	-0.402	-1.226	0.039	-0.607	-1.187	-0.395	-0.904	-0.848	-0.815	-1.056	-0.324	-0.49	-0.66	-0.64	0.232	-0.627	-2.739	-0.303	-1.667	-0.091	-0.67	-0.6	-0.611	-0.137	-1.148	-1.416	-0.273	-0.03	0.602	-0.713	0.619	0.16	-0.313	-0.017	-0.006
994	IMAGE:786067 || cell division cycle 25B AA448659 	-1.196	0.373	-0.329	0.038	0.748	-0.469	0.432	-0.596	1.608	-0.855	1.152	1.576	0.058	-0.254	1.559	1.031	0.392	0.998	-0.037	-0.35	1.511	0.565	0.835	0.578	0.644	0.408	-0.384	-0.162	-0.369	-0.265	1.006	0.452	0.989	0.903	1.771	-0.104	1.001	0.173	0.404	0.369	0.976	-0.044	0.289	-1.046	-0.655	0.368	-0.087	0.768	0.386	-0.138	2.903	0.067	-0.065	-0.737	-0.384	-1.118	0.253	0.081	-0.11	-0.124	0.51	-0.225	-0.278	-0.248	-1.112	-1.594	0.451	-0.608	-0.043	-0.343	-0.542	-0.49	-0.808	-0.278	-0.763	-0.073	-1.929	0.081	-0.167	-0.337	-0.844	-0.243	0.697	0.674	0.498	-0.252	0.704	0.237	-0.673	0.123	-0.231	-1.339	-0.27	-0.975	-1.621
995	IMAGE:415102 || cell division cycle 25C W95000 	-1.601	-0.164	-1.231	-0.102	-0.172	-0.224	-0.136	0.14	-0.322	-0.972	1.915	2.415	2.73	1.386	0.824	0.511	0.561	0.707	0.083	-0.598	0.656	0.28	0.246	0.04	-0.424	0.154	1.063	0.237	-0.898	0.418	0.385	0.393	0.525	0.544	1.199	0.524	0.481	-1.212	-0.994	0.229	-0.703	0.065	-0.117	0.865	-0.202	1.517	1.909	1.622	-0.696	0.388	-1.892	0.021	-0.633	-0.246	1.011	-1.694	-1.08	-0.695	0.172	0.403	0.244	-1.142	-1.545	0.027	-0.995	-0.892	0.007	0.43	0.288	0.256	-0.751	-0.464	-0.439	-0.685	0.099	0.367	-0.154	-2.67	0.087	0.299	0.247	-2.29	0.725	-0.62	-1.659	-2.31	-0.145	0.959	0.677	0.802	0.312	-0.013	0.315	0.01	-1.096
1026	"IMAGE:268652 || cyclin-dependent kinase inhibitor 1A (p21, Cip1) N23941 "	-1.59	-0.369	0.956	0.06	-1.521	2.88	0.872	1.281	-0.996	-0.756	0.1	-1.076	-1.328	1.469	-2.07	0.817	-1.41	-1.022	-0.149	-0.532	0.368	-0.473	-0.647	0.13	-0.572	-0.115	-0.883	-1.385	-0.423	-0.05	-1.267	-1.39	-0.915	-0.849	-0.662	-0.438	0.712	-1.836	1.218	0.875	-0.89	-0.343	-2.985	0.65	-0.142	0.213	2.606	-0.929	-0.438	2.148	2.699	1.699	2.624	1.474	0.265	0.608	0.856	0.432	-0.85	1.453	0.045	-0.225	0.059	1.413	2.303	2.02	2.373	1.928	1.51	2.275	0.138	-0.306	0.069	1.125	0.107	0.758	1.13	2.212	0.691	-0.398	0.114	-0.189	-0.016	-0.044	0.952	2.582	-0.046	-0.046	-0.411	0.489	-0.97	0.486	0.488	-0.687	-1.855
1033	IMAGE:700792 || cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase) AA284072 	0.099	-0.1	0.556	-0.725	0.288	0.294	0.139	0.655	-0.792	0.049	-0.058	-0.58	0.108	-0.47	-1.358	0.694	1.3	-0.206	-0.101	-0.35	-0.054	-0.446	0.532	-0.229	0.422	-0.269	0.115	0.492	-0.143	0.22	-0.34	-0.165	-0.274	0.021	0.186	0.229	0.365	1.082	0.005	0.079	0.44	0.208	-0.075	0.124	0.562	0.213	0.348	-0.412	-0.422	0.946	0.79	0.792	0.249	0.268	-3.321	0.999	-0.603	0.557	0.45	-0.353	-2.656	-2.235	0.425	-0.105	-0.08	0.132	0.55	-1.041	-0.806	-0.682	-1.779	-1.95	-2.098	-1.642	-1.625	-1.219	0.588	-1.167	-2.412	-0.792	-1.073	-2.279	-1.418	-0.57	0.176	0.17	-1.774	-1.365	0.677	-0.308	0.229	-0.383	0.163	-0.386	0.111
1063	"IMAGE:435076 || centromere protein F, 350/400ka (mitosin) AA701455 "	-0.126	-0.024	1.808	-0.548	-0.298	-1.142	-1.436	-0.246	1.122	0.167	1.271	-0.392	0.47	1.336	1.414	1.383	1.52	0.425	0.572	-0.598	0.77	1.006	1.085	0.332	0.813	1.163	1.503	1.579	1.336	1.065	1.598	0.912	0.535	1.012	1.1	1.153	0.211	0.2	1.418	-0.613	-1.17	0.978	1.087	-0.401	0.743	1.414	0.515	0.611	-0.341	0.388	-0.416	-0.9	-0.558	0.737	-1.302	0.136	0.715	-0.044	-1.38	-2.291	-1.285	-1.001	-1.506	-1.455	-1.836	-0.98	0.007	-0.868	-0.93	0.256	-0.585	-0.438	-0.926	-1.122	-1.155	-0.292	-0.154	-0.185	-1.243	-1.063	0.247	-1.012	-0.629	-1.87	-0.883	0.086	0.549	0.394	-0.017	-0.673	-0.203	-0.296	-0.465	-0.933	0.384
1163	IMAGE:810899 || CDC28 protein kinase regulatory subunit 1B AA459292 	0.504	0.066	-0.129	-0.393	0.528	0.307	0.102	1.189	0.887	0.894	0.35	-0.118	0.507	-0.47	-0.334	-1.173	-0.412	0.211	-0.013	-0.415	0.018	1.226	0.291	0.769	0.951	0.563	0.97	0.899	0.505	0.687	1.254	1.275	0.998	-0.087	0.351	1.05	0.712	-0.045	0.066	-0.052	-0.143	0.129	0.639	-0.64	-0.464	-0.342	-0.167	-0.063	0.547	0.493	0.437	1.623	1.145	0.536	0.595	0.263	0.168	0.181	0.38	-0.82	0.028	-0.356	-0.496	-0.595	-0.017	0.044	-0.378	-0.003	-0.256	-0.386	-0.873	-0.245	-0.218	-0.308	-0.669	-0.55	-1.392	-0.745	0.097	-0.817	0.098	-0.221	-0.536	0.148	0.46	-0.589	0.959	0.048	-1.236	-0.295	-0.747	0.052	0.358	-0.496	1.532
