CLID	NAME	EL2-172_Bio_058V0	EL1-131_Bio_013V0	EL2-169_Bio_061V0	EL2-025_Bio_043V0	EL1-140_Bio_015V0	EL2-184_Bio_060V0	EL1-126_Bio_011V0	EL1-012-Bio-003V0	EL1-014_Tissue_001V0	E1-086_Bio_009V0	EL1-164_Bio_019V0	EL1-088_Bio_008V0	EL1-163_Bio_021V0	EL1-016_Tissue_004V0	EL2-048_Bio_045V0	EL3-002_Bio_083V0	EL2-118_Bio_054V0	EL1-261_Bio_028V0	EL3-240_Bio_093V0	EL1-194-022V0	EL1-137_Bio_016V0	EL2-121_Bio_057V0	EL1-254_Bio_027V0	EL2-061_Bio_049V0	EL1-124_Bio_014V0	EL2-230_Bio_065V0	EL2-182_Bio_062V0	EL1-193_Bio_023V0
"lilly_L=1,.lilly_R=2"	NaN	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_L_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427	UNC_Scorr_S329_R_Correlation_Br.J.Cancer.2008_PMID.18382427
57508	57508	-0.12	-1.53	-0.82	-1.29	-0.04	-0.14	-0.35	0.121	-0.75	-0.13	0.7	0.2	0.59	-0.36	0.6	0.56	1.8	-0.04	-0.07	0.14	0.06	1.34	1.04	-0.22	0.82	-0.5	0.3	0.79
90326	90326	-0.14	-0.35	-0.58	-0.21	0.08	0.31	-0.12	-0.091	-0.35	0.33	-0.08	-0.36	-0.32	0.27	0.24	0.29	0.48	-0.26	0.23	0.24	0.45	0.02	0.17	0.64	-0.02	-0.43	-0.03	0.04
55857	55857	-0.42	-1.47	-1.17	-1.09	-1.74	0.03	0.17	0.24	0.17	0.06	-0.58	-0.08	-0.73	-0.29	0.34	0.28	0.59	0.14	0.85	0.25	-0.33	0.59	0.05	-0.29	0.07	0.08	-0.62	-0.12
200523	200523	0.15	0.38	0.42	0.22	0.04	-0.27	0.01	0.108	0.08	-0.32	-0.12	0.11	0.02	0.6	-0.06	-0.09	-0.34	-0.53	-0.05	0.07	0.02	-0.28	-0.25	-0.07	-0.1	0.04	-0.01	-0.14
146434	146434	0.33	0.647	0.75	0.33	-0.168	-0.057	-0.06	-0.26	0	-0.14	0.09	-0.087	-0.09	0.31	-0.04	0.02	-0.09	-0.46	-0.49	0.04	0	-0.264	-0.15	-0.15	-0.13	-0.09	0.57	0.17
57405	57405	-0.35	-1.34	-0.27	0.18	-0.91	-1.11	-1.7	-1.01	0.35	0.72	-0.63	-0.33	-0.32	-0.77	1.13	1.2	1.01	0.11	0.3	0.06	1.31	0.14	0.15	-0.44	-1.03	-0.52	-0.78	-0.59
644267	644267	-1.01	-1.7	-1.4	-0.55	-0.23	-0.47	-0.84	-0.52	0.8	-0.35	0.3	-0.15	-0.27	-0.34	0.57	0.82	1.64	-0.72	0.15	1.04	0.68	1.29	0.36	-0.08	1.05	0.94	0.02	1.44
26548	26548	0.7	0.31	0.32	0.34	0.32	-0.03	0.15	-0.2	0.24	0.15	0.63	0.177	0.7	-0.1	0.14	0	-0.26	-0.146	-0.48	-0.1	-0.18	-0.8	0.183	-0.28	-0.11	-0.16	0.02	-0.27
58487	58487	-0.83	-0.44	-0.26	0.79	-0.67	0.14	0.1	0.42	-0.47	-0.53	0.55	-1.24	-0.25	0.1	0	-0.48	2.34	0.67	0.27	1.04	0.87	0.39	-0.49	0	0.93	-0.72	0.11	0.18
9493	9493	-0.5	0.34	-0.85	-0.18	0.33	-0.63	-0.27	-0.62	-0.11	0.02	0.04	-0.3	0.15	0.02	0.21	-0.27	1.01	-0.08	0.41	0.48	0.48	-0.04	0.41	0.1	0.75	0.66	-0.35	0.34
6636	6636	-0.78	-0.44	0.51	-0.24	0.03	-0.07	-0.89	-0.4	0.03	0.43	-0.03	0.5	-0.55	-0.2	0.02	0.47	1.05	0.23	0.49	0.38	0.23	-0.12	0.46	0.27	-0.44	0.12	-0.65	-0.13
6635	6635	-1.39	-1.71	-1.01	-0.25	0.16	-0.62	-0.82	-0.96	0.47	0.91	-0.02	0.45	-0.69	-0.76	-0.3	0.01	0.69	-0.58	0.68	0.8	0.36	1.22	0.58	-0.46	0.43	0.67	-0.35	-0.14
